Date,Total Cases,New Cases,בינוני Moderate,קשה Severe,נפטרו Deceased,Total Recovered,New Recovered,נבדקים היום Tested Today,"סה""כ נבדקים Total Tested",אחוז חיוביים Percent Positive,GF Normalized to Tests,Baseline
04/05/2020,16174,59,64,90,235,9787,153,9261,408780,0.64,3,1
05/05/2020,16207,33,59,87,238,10181,394,8953,417733,0.37,1,1
06/05/2020,16272,65,60,85,239,10673,492,9456,427189,0.69,2,1
07/05/2020,16333,61,62,81,240,10905,232,10116,437305,0.60,1,1
08/05/2020,16366,33,57,77,246,11143,238,8169,445474,0.40,1,1
09/05/2020,16384,18,50,79,248,11376,233,3884,449358,0.46,1,1
10/05/2020,16413,29,47,74,253,11430,54,4943,454301,0.59,1,1
11/05/2020,16455,42,51,65,258,11794,364,9147,463448,0.46,1,1
12/05/2020,16478,23,53,66,261,12101,307,7527,470975,0.31,1,1
13/05/2020,16515,37,50,60,264,12224,123,8148,479123,0.45,1,1
14/05/2020,16538,23,42,60,266,12577,353,8303,487426,0.28,1,1
15/05/2020,16551,13,41,60,266,12674,97,5678,493104,0.23,1,1
16/05/2020,16556,5,41,59,269,12852,178,1521,494625,0.33,1,1
17/05/2020,16571,15,37,55,273,12942,90,4344,498969,0.35,1,1
18/05/2020,16599,28,39,57,276,13253,311,7675,506644,0.36,1,1
19/05/2020,16621,22,,55,278,13435,182,7117,513761,0.31,1,1
20/05/2020,16637,16,,52,279,13574,139,5968,519729,0.27,1,1
21/05/2020,16654,17,,51,279,13724,150,6023,525752,0.28,1,1
22/05/2020,16674,20,,46,279,14075,351,4999,530751,0.40,1,1
23/05/2020,16679,5,,47,279,14090,15,704,531455,0.71,2,1
24/05/2020,16693,14,,47,280,14153,63,3806,535261,0.37,1,1
25/05/2020,16716,23,,47,281,14307,154,5244,540505,0.44,1,1
26/05/2020,16771,55,,43,281,14457,150,6791,547296,0.81,2,1
27/05/2020,16810,39,,41,283,14570,113,6633,553929,0.59,1,1
28/05/2020,16887,77,,36,284,14679,109,5325,559254,1.45,2,1
29/05/2020,17000,113,,39,284,14776,97,1825,561079,6.19,4,1
30/05/2020,17028,28,,,284,14792,16,1014,562093,2.76,0,1
31/05/2020,17115,87,,,285,14811,19,5423,567516,1.60,1,1
01/06/2020,17213,98,,,288,14878,67,5636,573152,1.74,1,1
02/06/2020,17285,72,,,290,14940,62,6664,579816,1.08,1,1
03/06/2020,,,,,,,,,,,,
